student_id,course_id,chapter,time_spent,score,completed
S1331,C1,6,67.79,33.22,1
S732,C2,2,61.44,63.51,1
S1952,C1,5,79.9,77.41,1
S1167,C3,7,18.49,7.76,0
S2634,C3,8,75.17,75.39,1
S2535,C1,1,5.0,19.63,0
S219,C2,1,88.34,71.87,1
S1767,C3,2,74.89,58.24,1
S2639,C1,5,91.57,98.42,1
S144,C1,8,70.51,16.02,0
S1495,C2,3,59.89,68.49,1
S3186,C3,5,5.0,0.0,0
S2564,C3,2,99.54,62.41,1
S2835,C1,5,33.42,47.51,0
S3017,C3,5,37.29,33.53,0
S223,C2,6,86.53,50.89,1
S868,C1,7,129.9,65.58,1
S540,C3,3,72.62,60.25,1
S887,C1,7,97.92,86.82,1
S1174,C3,8,8.86,23.33,0
S3453,C1,4,13.38,20.66,0
S1145,C3,2,127.7,85.3,1
S1881,C1,6,54.27,52.23,0
S2147,C2,3,60.78,58.13,0
S2658,C2,8,11.74,36.04,0
S553,C2,7,5.0,23.91,0
S3379,C3,5,35.1,53.27,1
S510,C2,6,38.09,16.97,1
S1882,C3,3,80.96,78.06,1
S562,C2,4,96.06,62.52,1
S2933,C1,1,59.54,51.7,1
S3105,C2,3,66.5,75.62,1
S356,C3,7,49.84,39.41,0
S1649,C2,6,80.8,74.45,1
S813,C2,4,15.71,44.55,1
S1293,C3,8,95.02,68.99,1
S698,C2,4,62.4,71.67,1
S1514,C2,2,24.97,51.96,0
S2239,C3,4,133.89,94.57,1
S3476,C2,2,21.19,34.38,0
S1059,C1,2,31.42,48.54,0
S2688,C2,8,42.1,45.03,0
S663,C3,3,37.14,14.1,0
S1082,C2,8,35.81,13.97,0
S1019,C1,8,27.49,77.24,1
S351,C3,7,5.0,31.46,0
S3197,C3,8,34.3,69.89,1
S1602,C2,4,67.67,47.04,0
S1045,C3,3,117.7,71.49,1
S1275,C2,5,55.27,13.8,0
S1034,C2,5,70.04,56.98,1
S1351,C1,8,71.9,75.47,1
S2649,C2,6,62.56,63.89,1
S464,C2,2,5.0,26.99,0
S1174,C3,7,37.54,16.95,0
S3479,C3,5,74.02,70.62,1
S2448,C1,8,6.45,24.17,0
S420,C1,3,86.48,75.46,1
S2789,C3,2,45.51,44.11,0
S1093,C2,1,98.59,94.95,1
S2036,C2,4,58.51,23.85,0
S1188,C2,6,57.96,28.81,0
S1105,C2,3,48.71,29.63,0
S2488,C1,6,76.53,87.67,1
S1392,C2,6,30.83,19.79,0
S2404,C3,1,107.6,69.04,0
S1473,C2,7,46.71,8.27,0
S445,C2,6,86.63,48.47,1
S3216,C1,6,42.11,7.03,0
S3488,C3,7,5.3,57.53,0
S650,C1,1,42.9,35.16,0
S2768,C1,3,121.31,54.31,1
S639,C2,6,42.94,78.68,1
S1476,C2,2,5.0,35.93,0
S545,C2,3,126.45,53.61,0
S2746,C2,8,20.77,40.03,0
S2400,C2,2,110.81,94.12,1
S219,C2,2,96.1,68.69,1
S2755,C1,2,38.51,40.02,0
S2876,C2,2,100.58,62.32,1
S2050,C3,8,72.88,80.11,1
S3011,C2,6,51.0,63.47,1
S3011,C2,7,42.05,96.22,1
S2271,C3,8,5.0,37.4,0
S2360,C2,2,42.71,21.58,0
S2367,C3,7,94.48,57.72,1
S1025,C1,3,109.17,71.33,1
S2484,C2,3,53.38,77.57,1
S2083,C2,6,6.98,11.11,0
S2152,C3,4,9.3,27.15,0
S2207,C2,6,28.11,70.31,1
S214,C1,6,34.71,26.15,0
S2079,C1,3,16.61,10.18,0
S2527,C3,2,106.51,61.49,1
S2552,C2,7,77.31,99.2,1
S1898,C2,3,90.53,83.72,0
S1266,C1,7,42.86,43.03,1
S532,C3,4,32.7,51.0,0
S826,C3,5,13.5,11.01,0
S1117,C2,7,19.38,18.04,0
S2719,C2,1,40.31,14.38,0
S1302,C3,6,11.06,89.86,1
S2624,C1,4,48.71,66.64,1
S1372,C1,1,31.04,46.06,0
S1394,C1,5,5.0,27.57,0
S1091,C1,5,100.98,87.65,1
S698,C2,5,73.28,46.17,1
S546,C3,1,27.78,54.18,0
S3067,C1,4,62.87,36.25,0
S2887,C2,7,73.48,71.3,1
S2277,C2,8,110.35,83.97,0
S1674,C2,3,50.52,4.4,1
S2437,C1,2,48.98,67.54,0
S425,C1,5,119.22,75.01,1
S3137,C3,2,58.99,82.52,1
S1973,C3,4,21.03,43.46,1
S2538,C2,7,94.49,86.68,1
S2051,C2,1,57.7,52.93,0
S2682,C3,7,102.5,75.08,1
S990,C3,8,52.51,83.17,1
S864,C1,7,94.16,85.43,0
S2377,C1,4,131.25,52.34,1
S695,C3,2,104.02,67.65,1
S3382,C1,2,58.96,47.07,0
S2206,C1,2,28.26,23.78,0
S364,C1,4,84.04,79.55,1
S1852,C2,4,73.16,69.7,1
S360,C3,7,63.34,72.7,1
S2818,C3,7,5.0,43.71,1
S742,C1,1,95.89,100.0,0
S1832,C1,1,85.11,86.22,1
S1118,C1,8,16.94,15.33,0
S1956,C3,4,41.54,0.0,0
S1306,C3,8,40.02,33.89,0
S1033,C1,6,5.0,54.16,1
S527,C2,2,25.88,41.76,0
S3122,C3,1,54.74,28.71,0
S1105,C2,4,80.49,50.07,0
S280,C1,6,21.95,51.1,0
S2991,C1,3,52.16,20.71,0
S2913,C1,4,78.98,49.61,0
S1431,C2,8,69.55,74.56,1
S1987,C3,3,106.4,61.07,1
S3304,C2,2,50.8,38.19,1
S1678,C1,5,5.0,38.2,0
S428,C3,1,103.37,70.2,1
S1050,C3,1,17.82,33.6,0
S3129,C1,4,110.02,67.69,1
S311,C1,2,134.81,69.09,1
S3271,C1,1,134.56,92.5,1
S3089,C3,2,72.29,72.9,1
S2122,C2,6,50.98,38.9,0
S590,C2,6,59.67,77.84,1
S231,C3,1,48.66,12.0,0
S58,C3,3,86.26,78.45,1
S2736,C3,1,5.0,59.39,0
S2243,C2,5,103.97,78.43,1
S2550,C2,6,60.29,2.42,0
S2952,C3,1,100.79,96.78,1
S2429,C3,4,59.96,76.34,1
S1692,C1,3,55.0,84.51,1
S1974,C2,4,27.52,56.62,0
S2377,C1,2,54.82,66.0,1
S2107,C1,5,5.0,8.27,0
S1213,C2,2,46.85,53.56,1
S3309,C3,5,20.07,45.71,0
S1524,C2,5,38.5,46.11,0
S573,C2,5,52.59,23.04,0
S2136,C3,1,74.63,56.75,1
S2992,C3,5,110.38,78.85,1
S2219,C1,8,5.0,65.11,0
S3120,C2,5,34.99,36.04,0
S77,C2,1,9.31,38.8,0
S918,C2,8,36.06,23.22,0
S3389,C3,6,71.33,94.95,1
S3237,C1,4,27.06,98.99,1
S1372,C1,7,5.0,12.49,0
S410,C1,1,61.51,72.4,1
S1010,C1,3,111.63,49.09,1
S2185,C2,6,19.62,17.47,1
S2495,C3,7,64.0,70.3,1
S2606,C3,1,18.27,49.51,1
S293,C1,7,26.38,18.78,0
S685,C3,6,16.69,15.46,0
S269,C1,7,5.0,25.81,0
S1645,C3,6,86.08,62.66,1
S3366,C2,6,99.85,65.8,1
S1963,C3,4,79.43,82.65,1
S3007,C2,7,5.0,13.32,0
S1534,C1,3,55.99,74.42,1
S2978,C1,2,34.39,19.41,0
S2185,C2,8,51.0,70.1,0
S2993,C1,6,14.19,47.8,0
S1961,C1,1,97.34,78.59,0
S1932,C2,8,20.95,12.44,0
S1522,C3,2,107.04,86.05,1
S2832,C3,7,43.27,49.63,0
S1629,C3,6,6.29,16.59,0
S1180,C1,4,50.22,1.46,0
S821,C1,8,14.34,22.62,0
S1734,C2,7,93.45,65.25,1
S1710,C1,3,34.97,22.71,1
S3211,C1,1,100.86,92.87,1
S953,C2,3,46.26,41.72,0
S339,C2,7,93.26,42.02,1
S2659,C3,5,111.88,43.15,1
S628,C2,5,70.01,42.97,0
S1646,C1,3,102.8,82.86,1
S1172,C1,5,36.12,38.05,0
S1706,C2,8,12.82,49.62,0
S2942,C1,5,51.1,49.33,0
S3396,C3,3,24.34,31.06,1
S606,C2,8,15.06,0.06,0
S224,C1,7,99.37,78.28,1
S1171,C1,1,122.2,73.61,1
S3181,C1,2,154.62,81.22,1
S1197,C1,7,154.69,92.44,1
S815,C2,5,56.65,71.28,1
S3186,C3,7,5.0,24.73,0
S1678,C1,7,54.34,45.16,0
S3269,C2,7,20.09,35.13,0
S2958,C2,2,66.83,83.75,1
S2931,C3,8,80.93,73.15,1
S2295,C1,3,77.56,78.78,1
S1372,C1,3,55.72,21.17,0
S1590,C1,2,53.0,47.38,0
S3437,C2,6,5.0,22.42,0
S2007,C1,7,40.67,15.04,0
S1742,C1,4,27.82,28.51,0
S2461,C2,3,109.28,84.24,1
S3375,C3,2,5.0,40.61,0
S2048,C3,3,53.96,46.66,0
S2595,C3,8,52.62,18.67,0
S2159,C2,4,72.33,56.03,0
S3500,C2,4,5.0,10.72,0
S1312,C2,3,127.18,71.65,1
S1923,C3,7,59.36,13.63,0
S555,C2,2,98.34,86.85,0
S712,C1,8,38.57,76.12,1
S2333,C3,5,5.0,29.75,0
S473,C2,2,93.26,80.51,1
S2298,C1,3,58.94,11.92,0
S900,C3,8,15.72,25.48,0
S1284,C2,6,19.58,42.13,0
S2045,C1,4,11.04,24.42,0
S258,C3,6,132.61,81.06,1
S1546,C1,7,63.96,58.25,0
S462,C3,7,75.01,57.83,1
S976,C2,8,85.1,68.41,1
S2142,C1,4,19.06,35.7,0
S1540,C2,4,126.08,57.97,1
S254,C1,1,126.75,86.53,1
S1644,C1,2,44.07,55.68,0
S1538,C1,2,12.07,20.99,0
S1209,C2,7,13.66,59.82,0
S1924,C1,8,81.37,86.74,1
S2461,C2,1,90.4,83.22,1
S3114,C2,4,72.79,68.87,1
S31,C3,7,78.15,76.47,1
S1669,C3,6,11.52,35.22,1
S253,C2,2,71.37,86.1,1
S2566,C1,7,73.09,73.35,1
S1724,C3,7,14.16,5.82,0
S3427,C1,5,53.57,87.0,1
S3255,C3,7,19.25,41.2,0
S2394,C3,2,70.49,86.15,1
S447,C1,3,78.87,84.35,1
S876,C2,5,54.43,37.84,0
S795,C1,5,74.83,69.02,1
S812,C1,3,39.84,15.72,0
S340,C3,7,27.76,11.01,0
S595,C2,3,29.14,35.28,0
S2062,C1,6,10.59,20.92,0
S160,C1,1,60.44,40.15,0
S2695,C1,2,84.6,70.39,1
S156,C1,3,26.01,31.89,0
S1090,C2,8,120.92,58.64,1
S3076,C3,3,27.55,13.4,0
S194,C2,3,14.9,20.61,0
S1063,C2,6,22.61,9.02,0
S1699,C2,3,16.93,17.09,1
S2146,C1,2,45.36,24.23,0
S2074,C2,4,92.95,100.0,1
S2144,C3,1,89.96,65.34,1
S1888,C2,6,79.63,75.49,1
S2959,C2,2,65.72,33.11,0
S2000,C2,7,5.22,30.42,0
S3015,C3,2,69.8,31.41,0
S2806,C1,3,24.1,30.5,0
S2405,C2,6,97.32,85.58,1
S2284,C3,3,89.54,93.38,1
S924,C2,2,29.12,44.52,0
S2223,C2,4,45.91,44.14,0
S2496,C2,8,42.2,80.51,1
S1279,C3,8,63.02,29.89,1
S21,C1,6,5.0,10.23,0
S1110,C3,3,11.37,19.47,0
S2407,C2,8,132.73,80.6,1
S1637,C2,6,61.91,30.47,0
S3218,C1,6,33.6,23.18,0
S3095,C3,5,126.98,69.69,1
S2160,C1,8,112.17,74.33,1
S1215,C1,4,54.03,36.07,0
S3213,C1,5,46.13,69.71,1
S1777,C3,6,52.68,3.15,0
S2969,C2,7,87.7,69.25,1
S2756,C1,3,31.0,4.79,1
S705,C1,4,46.54,46.46,0
S3240,C3,1,121.76,91.73,1
S891,C2,4,73.2,91.03,1
S456,C1,3,9.47,30.34,0
S2425,C2,6,5.0,47.08,0
S2390,C1,8,87.31,72.14,1
S2810,C3,7,79.76,77.82,1
S2003,C3,1,83.8,51.81,1
S2478,C1,5,31.53,25.47,0
S3000,C3,1,55.35,9.59,0
S1440,C1,3,78.42,72.46,1
S1961,C1,4,69.64,80.34,1
S3342,C2,5,88.12,66.46,0
S2800,C3,3,41.12,43.19,0
S1740,C3,6,80.55,60.67,1
S3274,C1,6,54.17,73.75,1
S1200,C3,1,96.61,78.03,1
S2283,C3,6,21.67,13.19,0
S3401,C2,2,31.5,25.64,0
S1524,C2,1,87.72,68.84,1
S965,C1,3,5.0,13.74,0
S3187,C1,1,96.59,59.14,1
S779,C1,2,116.51,89.52,1
S2053,C1,8,5.0,6.47,0
S496,C2,8,73.3,71.84,1
S2039,C1,7,36.05,29.62,0
S901,C1,1,88.14,60.18,1
S1484,C2,7,5.0,6.71,0
S1763,C1,5,70.08,0.0,1
S3087,C3,1,59.39,33.35,0
S2255,C1,1,46.62,2.48,0
S1433,C3,5,5.0,53.64,0
S754,C3,5,120.68,56.68,1
S3168,C1,8,98.34,81.15,1
S2812,C1,1,21.24,13.49,0
S626,C2,6,67.72,2.3,0
S2850,C1,4,58.39,76.67,0
S1091,C1,1,78.25,67.63,1
S2127,C2,7,85.28,84.23,1
S534,C1,1,101.72,77.34,1
S1018,C1,8,119.5,59.91,1
S898,C2,6,41.34,0.0,1
S2262,C2,6,8.93,41.02,0
S2638,C3,5,11.79,30.15,0
S2448,C1,3,8.64,31.84,0
S1541,C2,1,59.8,64.01,1
S3436,C2,3,47.26,91.38,0
S3351,C1,1,91.03,76.4,1
S1346,C2,2,98.24,85.53,1
S1152,C1,2,82.49,75.35,1
S3335,C3,3,112.74,78.46,0
S1033,C1,8,13.46,49.79,0
S1885,C2,7,38.02,62.9,1
S469,C2,6,119.52,45.11,1
S3235,C1,7,77.58,26.61,0
S3192,C2,8,44.47,67.62,1
S1202,C1,8,49.53,51.96,1
S3272,C1,5,32.03,26.64,0
S901,C1,3,64.6,71.67,1
S1115,C3,6,54.7,35.42,0
S359,C1,7,28.43,19.16,0
S3118,C2,2,61.8,73.33,1
S2216,C1,6,88.04,80.6,1
S2085,C1,1,59.87,0.0,0
S1655,C2,8,127.18,38.67,1
S1457,C2,3,45.42,32.91,0
S1736,C2,2,33.55,43.32,0
S97,C2,8,105.21,91.86,1
S2779,C2,6,49.68,63.28,1
S5,C2,8,5.0,19.27,0
S839,C2,6,80.3,81.32,1
S1908,C3,5,35.47,28.31,0
S2679,C1,2,42.27,74.84,0
S3044,C3,1,43.54,14.87,0
S229,C2,1,35.04,26.35,0
S2851,C1,4,55.97,70.16,1
S2530,C3,8,12.68,38.02,0
S3415,C2,6,5.0,45.37,0
S3,C3,3,130.52,44.65,1
S471,C3,1,25.67,38.91,0
S165,C2,3,73.16,43.29,1
S1623,C1,3,140.55,79.92,1
S3176,C1,2,41.97,23.22,1
S1058,C3,2,114.06,88.8,1
S2151,C2,7,36.73,37.57,0
S3089,C3,7,82.94,85.18,0
S2193,C3,7,61.99,93.73,1
S1747,C2,6,84.73,68.13,1
S143,C3,8,87.31,67.95,1
S24,C2,4,57.93,68.67,1
S434,C1,4,45.84,78.49,1
S2016,C2,2,32.29,34.02,0
S604,C1,4,56.21,22.66,0
S2622,C3,7,14.21,43.68,0
S3244,C1,7,141.1,82.23,1
S3458,C1,3,40.32,12.99,0
S2054,C2,2,23.48,57.25,0
S1842,C1,2,80.73,78.92,1
S876,C2,8,25.4,55.18,1
S2635,C1,3,70.83,100.0,1
S2042,C3,3,86.14,74.57,1
S1639,C3,5,112.91,95.11,1
S2071,C3,3,129.72,55.0,1
S2585,C3,3,107.15,99.32,1
S3195,C1,1,64.95,83.6,1
S1177,C3,7,84.17,57.02,1
S1079,C2,7,97.22,62.69,1
S406,C1,7,51.14,82.87,1
S1926,C3,7,17.79,0.0,0
S2512,C3,1,26.28,85.8,1
S1588,C2,3,52.66,100.0,1
S3424,C2,8,33.24,11.45,0
S1391,C1,5,51.49,6.89,0
S1029,C3,4,20.35,16.21,0
S1084,C3,2,13.52,37.19,0
S1991,C1,5,67.45,67.66,1
S3172,C1,6,16.72,63.8,0
S796,C2,2,12.84,42.13,0
S1294,C1,4,45.63,71.26,1
S1859,C2,6,55.13,90.33,1
S2922,C3,3,58.33,49.41,1
S958,C1,2,132.93,92.35,1
S227,C2,1,29.2,50.35,0
S2434,C1,1,148.8,61.6,1
S557,C1,7,102.36,66.48,1
S1565,C2,1,23.93,36.26,0
S760,C1,8,45.42,26.2,0
S1450,C3,4,136.31,68.88,1
S377,C3,4,5.0,51.32,0
S2072,C3,8,5.0,39.54,0
S829,C3,6,78.14,67.93,1
S1246,C1,7,38.53,40.36,0
S578,C2,7,71.41,0.0,0
S1304,C1,8,50.33,88.09,1
S225,C2,7,7.26,25.45,0
S2772,C2,4,5.0,24.35,0
S2120,C2,4,66.9,92.33,1
S1757,C1,2,97.39,86.19,1
S2250,C1,2,29.92,24.81,1
S1409,C3,6,104.03,83.75,1
S1901,C3,2,35.49,24.69,1
S2372,C2,4,59.62,85.14,1
S1825,C2,6,69.03,32.31,0
S650,C1,4,33.45,3.75,0
S747,C3,4,54.99,23.46,0
S2996,C1,6,54.61,0.0,0
S1496,C1,6,24.48,28.47,0
S3253,C2,8,65.96,0.0,0
S1575,C1,6,65.11,56.95,1
S33,C1,8,5.23,11.63,0
S1517,C2,5,13.93,28.51,0
S2809,C2,8,100.25,61.88,1
S3208,C2,2,106.67,71.87,1
S1906,C3,2,31.05,49.44,0
S2686,C2,3,39.12,42.76,0
S1862,C2,5,66.69,96.58,1
S2539,C1,8,33.44,61.53,1
S2292,C2,6,66.63,78.07,0
S658,C3,6,56.48,62.71,1
S812,C1,1,19.46,38.52,0
S1380,C3,3,42.87,31.26,0
S1165,C1,4,109.95,72.82,1
S2306,C2,1,119.76,64.19,1
S3446,C2,7,83.98,63.56,1
S735,C2,1,95.39,78.15,1
S1431,C2,2,107.65,88.54,1
S3167,C3,1,49.78,34.26,0
S621,C2,8,53.06,92.32,1
S1155,C1,4,16.42,30.15,0
S108,C1,8,119.24,84.86,1
S1834,C2,1,43.44,40.0,1
S2558,C2,8,76.92,93.52,1
S736,C2,3,103.98,53.67,1
S1865,C1,6,51.23,58.81,1
S1718,C1,2,92.97,75.85,1
S1199,C3,5,81.65,84.2,1
S328,C2,5,22.95,33.21,0
S3483,C1,5,125.3,83.12,0
S2608,C2,2,57.31,16.08,1
S753,C3,6,124.43,57.59,1
S1561,C2,4,101.5,86.61,1
S2881,C2,3,32.53,22.26,0
S3411,C3,2,82.17,70.79,1
S1355,C2,8,55.67,100.0,1
S3420,C3,4,83.3,80.53,0
S2436,C2,5,78.44,50.6,1
S3383,C1,7,45.71,76.33,1
S10,C2,1,52.75,18.95,1
S3299,C3,1,53.45,57.9,0
S45,C3,5,44.58,34.83,0
S764,C1,4,115.62,77.79,1
S2803,C3,3,19.61,46.13,0
S2513,C3,5,44.65,21.71,0
S1416,C2,6,59.53,24.36,0
S591,C3,8,50.91,0.0,0
S3185,C3,7,70.88,59.71,1
S2810,C3,1,65.27,85.18,1
S1598,C3,6,113.53,77.46,1
S2578,C1,1,66.56,13.68,0
S2197,C2,5,34.3,27.86,0
S1985,C2,7,74.31,74.2,1
S1246,C1,3,15.89,71.36,0
S2264,C2,2,73.08,80.26,1
S1484,C2,8,48.22,13.64,0
S2304,C2,2,57.91,49.88,0
S2847,C2,5,8.66,34.85,0
S2107,C1,7,40.51,85.54,1
S570,C3,5,18.89,2.34,0
S374,C3,1,90.88,100.0,1
S2583,C1,8,83.92,62.57,1
S3479,C3,1,50.65,88.18,1
S2260,C1,5,30.44,15.72,0
S1332,C2,1,74.59,26.93,0
S2050,C3,1,119.45,80.7,1
S1455,C3,7,40.89,20.57,0
S894,C3,3,24.42,14.16,0
S3029,C3,1,40.63,71.98,1
S511,C1,8,10.38,22.29,0
S682,C2,7,31.26,11.59,0
S1064,C3,5,93.68,96.0,1
S93,C1,4,18.95,39.08,0
S2911,C3,5,5.0,44.24,0
S3306,C2,8,22.98,87.52,1
S2929,C3,2,84.06,97.41,1
S1075,C2,6,55.05,37.28,1
S625,C1,6,7.87,29.13,0
S809,C3,6,54.04,21.62,0
S3237,C1,6,66.84,60.43,1
S3002,C1,7,81.32,64.33,1
S1100,C2,2,52.71,76.68,1
S3463,C2,4,62.18,35.76,0
S406,C1,5,77.14,39.37,1
S1311,C1,5,43.8,68.99,1
S3484,C2,5,41.28,0.0,0
S2563,C3,3,25.48,54.36,0
S3392,C3,7,45.92,11.08,0
S3251,C2,2,43.14,69.14,1
S1641,C1,4,101.46,71.4,1
S3001,C2,1,35.33,78.59,0
S3050,C2,8,5.0,44.84,0
S2010,C1,5,17.26,37.5,0
S511,C1,7,49.35,57.88,0
S819,C3,2,80.98,98.29,1
S1712,C3,8,67.89,63.24,1
S1705,C2,4,68.07,51.76,1
S2879,C1,7,24.23,15.07,0
S819,C3,3,107.58,100.0,1
S1612,C1,3,98.51,48.15,1
S2454,C3,2,55.59,70.93,1
S25,C2,4,106.82,79.1,1
S3309,C3,4,14.64,28.91,0
S2591,C3,4,88.02,83.07,1
S929,C2,5,103.8,100.0,1
S2087,C2,7,109.27,70.83,1
S1026,C1,4,129.86,79.67,1
S2999,C2,2,66.07,76.99,1
S1257,C2,2,20.22,45.79,1
S3482,C2,1,34.6,49.11,0
S1794,C1,7,79.53,59.94,1
S2812,C1,2,39.5,35.46,0
S1854,C2,2,54.0,60.2,1
S21,C1,3,5.0,32.97,0
S353,C1,7,72.12,48.8,1
S10,C2,5,40.63,69.07,1
S1031,C2,5,5.0,14.89,0
S879,C1,5,31.99,10.22,0
S256,C1,7,7.44,10.61,0
S325,C3,2,44.65,75.24,1
S1551,C2,2,62.36,41.5,0
S155,C2,1,54.4,18.24,0
S82,C1,5,38.19,14.22,0
S3288,C2,8,91.99,57.8,1
S3276,C3,4,114.44,58.96,1
S455,C3,5,34.56,50.49,1
S3380,C1,8,37.83,16.05,0
S826,C3,1,49.01,76.03,1
S2970,C2,3,126.48,55.18,1
S3180,C2,3,93.21,47.07,1
S997,C3,5,123.49,52.88,1
S1684,C2,4,5.47,31.68,0
S1279,C3,5,86.85,57.19,1
S1263,C1,8,37.56,10.89,0
S1545,C2,7,23.57,37.71,0
S2027,C2,1,55.23,82.09,1
S1109,C1,5,64.24,75.72,1
S286,C3,2,43.7,23.16,1
S483,C1,1,91.57,84.84,1
S1910,C1,7,58.29,75.5,1
S655,C1,4,27.69,30.82,0
S2735,C1,4,35.98,59.51,1
S2032,C3,1,112.8,72.45,1
S2212,C1,7,6.13,0.09,0
S2199,C3,4,41.09,11.29,0
S166,C1,7,121.09,75.79,1
S1277,C1,2,34.2,78.79,1
S1588,C2,4,70.11,61.27,1
S2513,C3,1,8.87,16.81,0
S1257,C2,4,57.14,22.49,0
S1575,C1,1,45.7,86.25,1
S2862,C2,4,103.11,40.69,1
S1891,C2,8,104.74,62.96,1
S3212,C1,6,50.22,48.62,1
S191,C1,6,24.66,27.98,0
S1717,C3,2,74.46,73.88,1
S2687,C2,1,111.27,67.13,1
S2929,C3,1,94.28,72.36,1
S2212,C1,8,9.42,21.33,0
S742,C1,6,91.57,55.82,1
S3233,C1,3,47.68,35.65,0
S1073,C1,3,25.68,39.36,0
S2094,C2,7,47.23,82.69,1
S793,C3,5,100.22,78.24,1
S555,C2,8,37.02,37.09,0
S2393,C2,4,82.17,65.17,1
S1422,C3,2,29.55,38.45,0
S689,C1,3,36.11,50.93,0
S3269,C2,5,10.26,49.68,0
S530,C2,7,34.91,53.58,0
S1160,C3,4,98.88,64.92,1
S1458,C1,5,123.66,100.0,1
S2220,C1,2,37.53,60.05,1
S3114,C2,6,5.0,15.25,0
S2667,C3,7,70.2,14.13,1
S1246,C1,8,43.31,25.11,0
S2555,C2,3,49.71,43.83,0
S2468,C2,4,110.21,83.49,1
S2558,C2,1,22.23,0.0,0
S367,C1,2,59.04,62.11,0
S3484,C2,2,119.64,53.33,0
S1560,C3,3,138.39,71.96,1
S1143,C1,6,21.48,58.29,0
S2635,C1,8,56.51,1.08,0
S1948,C1,2,84.77,35.28,0
S3186,C3,3,8.46,40.22,0
S2515,C1,7,47.1,69.88,1
S1698,C1,1,57.6,18.31,0
S1890,C1,7,117.89,85.1,1
S1008,C1,8,68.33,100.0,1
S1490,C3,3,80.93,68.59,1
S91,C1,1,38.27,32.56,0
S15,C2,2,103.88,90.37,1
S161,C2,8,82.5,15.85,0
S3442,C3,4,45.52,41.62,0
